fileName	name	duration	Pitch1	Pitch2	Pitch3	Pitch4	Pitch5	Pitch6	Pitch7	Pitch8	Pitch9	Pitch10
000001.TextGrid	sil	0.280	262	262	262	262	262	262	262	262	262	262
000001.TextGrid	k	0.127	262	262	262	262	262	262	262	262	262	262
000001.TextGrid	a2	0.110	262	262	263	265	268	273	278	285	293	303
000001.TextGrid	er2	0.098	303	313	322	331	338	341	341	338	333	328
000001.TextGrid	p	0.129	328	324	320	318	315	312	310	306	300	291
000001.TextGrid	u3	0.157	291	271	247	225	211	204	200	199	198	199
000001.TextGrid	p	0.075	199	200	201	203	206	208	211	213	216	219
000001.TextGrid	ei2	0.140	219	224	225	225	224	227	233	242	254	267
000001.TextGrid	uai4	0.212	267	288	303	303	291	274	258	249	249	254
000001.TextGrid	s	0.095	254	258	263	269	275	282	288	294	300	305
000001.TextGrid	uen1	0.192	305	311	313	315	318	322	325	323	314	297
000001.TextGrid	uan2	0.181	297	276	253	235	229	238	261	290	310	314
000001.TextGrid	h	0.089	314	309	303	295	286	278	269	261	252	243
000001.TextGrid	ua2	0.173	243	225	209	198	193	197	208	224	238	248
000001.TextGrid	t	0.136	248	254	261	268	274	281	287	294	300	305
000001.TextGrid	i1	0.203	305	308	311	314	317	320	322	324	325	325
000001.TextGrid	sil	0.264	325	325	325	325	325	325	325	325	325	325
