fileName	name	duration	F1	F2	F3
000001.TextGrid	sil	0.280	1058	2317	3145
000001.TextGrid	k	0.127	1202	2000	2792
000001.TextGrid	a2	0.110	998	1587	2535
000001.TextGrid	er2	0.098	620	1607	2334
000001.TextGrid	p	0.129	914	1850	2902
000001.TextGrid	u3	0.157	413	984	3334
000001.TextGrid	p	0.075	756	1953	2924
000001.TextGrid	ei2	0.140	491	2140	3096
000001.TextGrid	uai4	0.212	622	1905	3285
000001.TextGrid	s	0.095	1004	2089	3029
000001.TextGrid	uen1	0.192	430	1352	2705
000001.TextGrid	uan2	0.181	657	1360	2906
000001.TextGrid	h	0.089	944	1568	2585
000001.TextGrid	ua2	0.173	830	1708	2830
000001.TextGrid	t	0.136	1058	2548	3477
000001.TextGrid	i1	0.203	322	2244	3039
000001.TextGrid	sil	0.264	924	2128	3162
