label	F1	F2
u	320	630
a	780	1300
o	500	940
\as	720	1060
\o/	430	1580
i	280	2300
y	320	1680
e	420	2000
\yc	420	1540
\ep	600	1720
\ct	520	1000
\ic	350	2000
u	440	780
a	940	1300
o	500	740
\as	800	1000
\o/	460	1500
i	320	2400
y	340	1600
e	420	2200
\yc	540	1370
\ep	760	1660
\ct	560	800
\ic	430	2030
u	280	740
a	860	1500
o	480	820
\as	680	1020
\o/	360	1520
i	270	2040
y	280	1600
e	380	1940
\yc	400	1520
\ep	560	1840
\ct	500	820
\ic	350	2000
u	360	820
a	840	1300
o	500	900
\as	680	1000
\o/	440	1320
i	240	2060
y	300	1540
e	460	1920
\yc	480	1320
\ep	660	1660
\ct	500	800
\ic	440	1920
u	440	880
a	820	1420
o	540	960
\as	780	1040
\o/	540	1540
i	300	2300
y	360	1860
e	520	1960
\yc	560	1440
\ep	700	1720
\ct	600	880
\ic	560	1920
u	260	700
a	820	1460
o	450	900
\as	700	1080
\o/	460	1750
i	240	2500
y	260	2100
e	300	2320
\yc	440	1700
\ep	560	2080
\ct	550	900
\ic	340	2340
u	280	860
a	800	1320
o	520	920
\as	600	1000
\o/	450	1660
i	260	2340
y	280	1780
e	400	2040
\yc	460	1560
\ep	620	1760
\ct	560	960
\ic	340	2000
u	320	880
a	800	1160
o	560	980
\as	700	1080
\o/	500	1480
i	280	2080
y	320	1760
e	400	1940
\yc	400	1560
\ep	540	1860
\ct	560	920
\ic	340	1960
u	300	680
a	860	1300
o	500	940
\as	700	1120
\o/	500	1500
i	300	2380
y	300	1760
e	480	2100
\yc	500	1580
\ep	640	1700
\ct	560	900
\ic	400	2040
u	360	900
a	880	1400
o	460	940
\as	660	1040
\o/	460	1580
i	340	2200
y	400	1880
e	460	2080
\yc	460	1480
\ep	600	1860
\ct	520	860
\ic	460	2100
u	320	830
a	820	1340
o	520	840
\as	660	1060
\o/	440	1520
i	300	2100
y	300	1740
e	340	2040
\yc	500	1440
\ep	600	1760
\ct	560	900
\ic	300	1960
u	400	860
a	940	1520
o	580	1040
\as	860	1280
\o/	480	1600
i	300	2500
y	300	1670
e	480	2220
\yc	380	1600
\ep	630	2140
\ct	640	900
\ic	360	2220
u	260	780
a	900	1560
o	440	850
\as	860	1140
\o/	460	1580
i	260	2560
y	300	1960
e	460	2320
\yc	460	1600
\ep	680	2100
\ct	540	800
\ic	380	2500
u	340	720
a	900	1500
o	450	900
\as	600	1000
\o/	420	1740
i	360	2500
y	360	1900
e	380	1780
\yc	500	1640
\ep	600	1940
\ct	500	800
\ic	400	2360
u	360	780
a	860	1420
o	440	840
\as	660	980
\o/	460	1660
i	300	2360
y	320	1740
e	400	2240
\yc	480	1420
\ep	680	1640
\ct	560	860
\ic	440	2120
u	360	760
a	660	1000
o	500	920
\as	780	1060
\o/	440	1560
i	280	2200
y	380	1720
e	360	2140
\yc	360	1600
\ep	520	1800
\ct	540	920
\ic	340	2080
u	400	820
a	1100	1480
o	520	940
\as	660	940
\o/	500	1720
i	360	2300
y	360	2100
e	440	2360
\yc	500	1760
\ep	660	1840
\ct	540	860
\ic	400	2440
u	360	860
a	740	1300
o	460	800
\as	740	1040
\o/	440	1400
i	340	2040
y	340	1340
e	420	1760
\yc	460	1380
\ep	560	1640
\ct	540	920
\ic	400	1800
u	320	840
a	780	1140
o	460	1020
\as	800	1100
\o/	440	1500
i	260	2000
y	300	1540
e	400	1900
\yc	440	1500
\ep	600	1700
\ct	500	800
\ic	400	2000
u	400	960
a	800	1220
o	500	1080
\as	780	1100
\o/	400	1480
i	280	2380
y	300	1760
e	400	2000
\yc	440	1500
\ep	440	1800
\ct	460	860
\ic	400	2040
u	300	700
a	800	1100
o	420	700
\as	660	920
\o/	400	1300
i	300	1940
y	260	1920
e	300	1900
\yc	400	1200
\ep	540	1500
\ct	400	740
\ic	300	1900
u	400	780
a	760	1260
o	540	860
\as	660	1100
\o/	540	1460
i	300	2300
y	300	1980
e	420	2100
\yc	500	1440
\ep	540	1900
\ct	550	900
\ic	300	2200
u	360	900
a	800	1250
o	520	960
\as	760	1120
\o/	400	1500
i	300	2260
y	320	1800
e	460	2020
\yc	500	1500
\ep	640	1600
\ct	550	940
\ic	460	2100
u	360	860
a	840	1400
o	460	900
\as	620	1020
\o/	410	1460
i	270	2140
y	300	1870
e	360	2000
\yc	400	1520
\ep	600	1600
\ct	500	900
\ic	360	1940
u	360	860
a	880	1240
o	460	920
\as	600	1000
\o/	400	1440
i	360	2240
y	380	1660
e	460	2000
\yc	460	1500
\ep	540	1700
\ct	540	1000
\ic	340	2040
u	400	800
a	960	1300
o	460	860
\as	740	1140
\o/	400	1600
i	360	2500
y	360	1800
e	360	2080
\yc	400	1620
\ep	600	1940
\ct	560	980
\ic	400	2060
u	300	900
a	780	1300
o	550	1000
\as	680	1050
\o/	520	1480
i	260	2180
y	250	1720
e	360	2100
\yc	440	1440
\ep	600	1600
\ct	560	950
\ic	360	1900
u	280	740
a	780	1300
o	440	860
\as	440	700
\o/	450	1520
i	220	2340
y	240	1800
e	300	2200
\yc	440	1500
\ep	500	1660
\ct	420	700
\ic	300	2140
u	340	660
a	640	1250
o	560	1000
\as	720	1150
\o/	480	1400
i	300	2040
y	280	1540
e	460	1760
\yc	440	1550
\ep	480	1660
\ct	480	840
\ic	400	1780
u	360	800
a	600	1300
o	500	860
\as	750	1140
\o/	460	1400
